199_40_Pancreas	199_41_Liver	199_42_Stomach	199_43_Duodenum	199_44_Jejunum	199_45_Ileum	199_46_Colon	199_47_Kidneys	199_48_Quadriceps	199_49_Thymus	199_50_Heart	199_51_Esophagus	199_52_Brain	199_53_Pancreas	199_54_Liver	199_55_Stomach	199_56_Duodenum	199_57_Jejunum	199_58_Ileum	199_59_Colon	199_60_Kidneys	199_61_Quadriceps	199_62_Thymus	199_63_Heart	199_64_Esophagus	199_65_Brain	199_66_Pancreas	199_67_Liver	199_68_Stomach	199_69_Duodenum	199_70_Jejunum	199_71_Ileum	199_72_Colon	199_73_Kidneys	199_74_Quadriceps	199_75_Thymus	199_76_Heart	199_77_Esophagus	199_78_Brain	199_79_Unknown
ENSRNOG00000000034	0.00515150569668096	0.833021741164842	0.837796961395883	6.20988391133696	8.42168611379619	7.3992495540756	2.48868643244702	7.68993190324323	0.122429114734357	0.318500982140566	0.145520911131051	5.03188718700429	0.318201234534008	0.09153749841976	1.05904425453633	0.279507228568175	7.46770447941595	7.32389815927903	6.38464876023331	1.71763898490752	8.88695756342815	0.0394464033590737	0.508980905097553	0.150680952851038	2.23340474556656	0.364855864443032	0.0611982493725995	1.05282351141218	0.374309919953166	4.11960081994624	9.13426200631926	0.774160679067281	3.51563136603844	9.33664759988581	0.0568495018791826	0.358654778515503	0.19310208735521	2.59290580796206	0.282630547437228	0.15534845563431
ENSRNOG00000000035	13.462315359232	0	0	0	0	0	0.0292292676836617	0	0	0.0359318277724141	0	0	0.0181773432504071	22.0548522808573	0.0117392078887638	0.0283130221929357	0	0.0151347108882088	0	0	0	0	0.0185919969261871	0	0	0.0378119750996305	29.6268015978925	0.0147101089418868	0.0101551908717729	0.0267647239485416	0	0.0176071976326052	0	0	0	0	0	0	0	0.069282130091987
ENSRNOG00000000036	0.266256525915492	0.31936461189451	0.248110531475562	0.326956164461892	0.230186395632273	0.625218317952955	7.98734148564416	1.5415813090972	0.010060546722798	0.054370528866153	0.0360692856649614	0.0724098345796988	1.54331507855069	0.402695382781986	0.249206613181472	0.228382766693728	0.250341325867633	0.799861333500499	0.219317588420125	7.18018320144764	1.21912210548848	0.0141085676247782	0.127545097192553	0.0472462863678189	0.0208566980130729	1.5289103858348	0.307979637636836	0.339140753407456	0.268721973837682	0.118911844971378	0.330578103215426	0.164210285289349	1.64794692473875	1.02955085906006	0.0108284765484157	0.0845938572912173	0.0831072274693309	0.0328503465123571	1.4192329224537	0.681084983800462
ENSRNOG00000000040	0	0.0239152104721005	0.0473431249234396	0.0322694166042463	0.0709633621366346	0.131633127381204	0.353819477872391	0.73973690270642	0.124286446437027	0.0102437228298549	0.266166452837991	0.237333881340048	0.405374300014455	0.0562682975077105	0.0288449108123911	0.0731307919201419	0.0819859724793481	0.143535645197851	0.124400846343263	0.582576423615361	1.08184010469882	0.0574420253294541	0.0385833914704744	0.213409073169894	0.376115787502415	0.457307133403909	0.0283898016042564	0.0139018611978271	0.0846265905981071	0.0430784604505098	0.144154282400614	0.598459380586127	0.26432683583234	0.967796956013526	0.0680840462981639	0.0198930760296698	0.31830611305247	0.390010496891388	0.538979003717906	0.156231834342222
ENSRNOG00000000041	0.00801345330594816	7.30750794518624	0.0784078114777882	0.0634733336036354	0.066598872893607	0.10305796449774	0.0914020193864781	6.46838690724896	0.0441116279384218	0.0283672324519059	0.0501653283386245	0.0782026213460748	0.253700984290628	0.0432743813822186	11.818363690528	0.0925876081190787	0.0904280924178157	0.0678620907568073	0.0633829407224228	0.216329570505093	11.3882903374878	0.0270654154434521	0.15033528697304	0.0396388334780854	0.123228324093906	0.170846777544404	0.00961055540688836	11.4229653667959	0.0782470476145575	0.0261274686164335	0.0811709861181026	0.154201983477131	0.0758356225487032	11.4602159248039	0.0567141459223274	0.128049605899719	0.0905760142517054	0.0749616949670276	0.245168760788713	0.0618365095538682
ENSRNOG00000000042	0.019461243743017	0.441020247774325	0.456745849906078	1.40950376299679	1.32244024063738	1.54883628765618	1.08487414529746	1.76341469872745	0.999244456036671	0.259717772670783	0.691120680499893	1.24425652220127	2.3990183984462	0.135856033776348	0.683725008035572	0.325935217567018	1.48548841224958	1.86287134986372	1.13316715167177	1.7222682596673	2.92895091719931	0.82419948624342	2.87216365417775	0.591112435940876	1.35047119634647	3.43237709045756	0.0766635109469026	0.635282726830935	0.387199200675032	0.811863293105762	1.26892817510353	1.98423850373338	2.91029757714188	3.37508217916605	0.525045756641308	2.76475129480314	0.716731938861321	1.47913927248459	3.55455476141907	2.0088031817928
ENSRNOG00000000043	0.00581929347217664	1.08762218060074	2.01622024566499	1.19503391396197	1.42379337972546	1.40111987187609	4.32140996251264	2.08695825909727	1.43339574153587	1.41836162259529	2.23740128320201	2.57301958075909	4.07270216461003	2.05176255963682	1.5499108472565	2.7346890629954	1.65270732641537	1.91836528978716	1.57889743381677	7.30321508064025	2.98206118714139	0.870700173414883	5.33590311781571	1.95658349760516	3.26754935538143	2.87232432837979	1.15160965651507	1.24712626908414	2.30444715936384	0.531598398044605	2.09343678098368	8.76041484737208	2.84375139610805	2.71525688434067	0.695323550365145	4.15572152359617	1.48031354026663	2.89712098497277	2.54897057216809	1.71160934505942
ENSRNOG00000000044	0	0.383534617633314	1.25384671537923	1.07630681513503	1.24387943426288	1.16939560018723	2.22287773295914	1.29388197087369	1.04846374615744	2.10390307351635	1.39813395813186	1.42979607480666	3.96090173085483	0.567091625191111	0.595010136990485	1.16445690327154	1.4010672128649	1.65326374100337	1.26292874424529	2.84184055541711	2.00418845935947	0.762150581689549	3.60045015742613	1.23214043996527	1.62977714390487	4.22781434674194	0.342776476179018	0.623643959316475	1.22291933152003	0.834294680795968	1.72766212984567	3.23861233086466	1.94318226597512	2.09149459232799	0.651603576300917	3.28448204816082	1.38063918575276	1.61054065853402	4.69115713643554	1.96211030723172
ENSRNOG00000000047	1.0486176040355	3.57242740281998	7.9657181622616	30.70648089815	39.6551026711502	37.2440553304658	17.1154318492849	12.6203908839647	1.1936451742495	27.6025779415912	1.40241804953268	3.6273067722395	5.72097674128403	2.29215000795843	5.18520812446697	8.22875721781795	31.1226868954623	43.088847376384	32.9083597554792	15.5292582797397	13.3087898866355	0.742715309961538	31.7197459815843	0.855905182137917	5.12431689599524	4.8387450020166	1.34647195235129	4.43307722661872	8.75937290592315	19.5975132283214	42.6252087932058	17.5047052084911	28.8953989782955	13.6906966916888	0.784658481889575	29.450443673633	0.824825653020777	4.11852482604392	4.93083411698259	6.05467766403161
ENSRNOG00000000048	0.0839504632051712	1.8191899543591	3.36922978144261	5.36296393970476	6.76592821319129	7.10928191760242	3.65446589879152	2.76181108736638	0.639695993928061	3.07957827412607	0.869532357869491	3.12827522992435	4.32171222161023	0.752718998412424	2.61230916118962	3.37475122347077	6.01955621304806	7.56393792874256	7.48533609651001	4.61574303355887	3.95397912708131	0.425704433331318	8.3779936256199	0.821071055748085	2.4033868343731	4.25671774132071	0.430707534844342	2.31061865071791	3.23026206050713	3.12764916998672	8.83231267414134	7.03046134523801	8.73308841760189	3.86592198736021	0.396322241672016	7.78051036752668	0.847775197861164	2.7077072848696	4.86709023917752	4.74260788886514
ENSRNOG00000000053	0	702.805648269454	0.521452642423215	0.796689275974646	0.821493864187647	0.539180532440448	0.537592442645911	0.412832230372508	1.06100073515046	1.461070067009	0.881970042581547	2.00396346900334	1.81773432504071	0.777430642472511	934.082063590142	0.693601951257272	0.792909880374527	0.0548429846164126	0.0517154342212803	0.124634320455609	0.0669511281694002	0.0775971219362801	0.100756628503208	0	0.115407062339004	0.694671312170699	0.690082064676225	830.595794182964	0.814888970082389	0.9605986876198	0.773145222548151	0.767303138936688	0.690965549770033	0	0.152681519332662	0.0946369636362933	0.0145301851948013	0.107637305593681	0	0.847033983929721
