id	filename	md5	size	state
9e1d56a0-0f5f-4902-b459-68d8f451c075	3a91981c-57c8-4108-823b-e3f31639b11d.rna_seq.augmented_star_gene_counts.tsv	ca13b8bd05baddf71a105b660d39954a	4232356	released
f77c2ed0-9fa9-406d-baff-33f8c5d62f79	072b426b-9d30-4a6f-910b-5dc10f727e10.rna_seq.augmented_star_gene_counts.tsv	33bf08b6ed3d5ffa15f5a552bab08c54	4235332	released
df844cb4-3cd9-426a-a7eb-c25d7521eee4	fa648370-e3c3-47cd-80cb-f5281e6e500a.rna_seq.augmented_star_gene_counts.tsv	04ac8eb44a6115fd03856fe02c4afb2d	4244282	released
71e03867-8eee-4e5a-bf83-e16d1d51a6f2	e81da874-53c8-44df-9c29-5a894d2d5415.rna_seq.augmented_star_gene_counts.tsv	c61ad9feb18dcdec13b88dc62e696445	4228127	released
200c4121-f401-4fbb-89b3-f0794a37a9c1	a84d1560-508b-456a-9722-3348d39263f8.rna_seq.augmented_star_gene_counts.tsv	79464c81ed09d33e5169bd28ef94f334	4223928	released
4b1ae8ff-0d45-493c-92d6-1e2c5e18728d	3ba4c060-0ce6-4236-af52-8de55a0460e0.rna_seq.augmented_star_gene_counts.tsv	f1f56bb4b0c55182562c6a2168c36967	4237585	released
d47f4c65-78d1-4ab8-b2bf-49843eca2d99	0004b04e-dd84-4440-8290-b141c7ff1577.rna_seq.augmented_star_gene_counts.tsv	4e87e035dc488d324f5c724b891901e5	4234610	released
fef457d0-61be-44f1-943a-21b3df77a4f7	8efda712-e06a-497a-91d8-a53a03e593f9.rna_seq.augmented_star_gene_counts.tsv	088db0abe3dacec5b645264aaa2588b8	4242474	released
5d650ac1-5544-45ec-a1b6-00f98081d2b8	24125fc9-e366-49a0-a35f-004bfabd559b.rna_seq.augmented_star_gene_counts.tsv	ee83ad0008df96117c93870f602650b2	4234693	released
79b4e3ea-0e12-4206-bbca-2d6b85daff40	d5bc6ebe-f611-4a24-a2db-94cfc5390bc8.rna_seq.augmented_star_gene_counts.tsv	de751c66a3cce808554dc23ac04d296a	4240999	released
e0e154ce-d478-4ccc-8278-5630dec9a50d	09cd09a4-354f-4627-ba16-3d56fdc10532.rna_seq.augmented_star_gene_counts.tsv	3983b1ce92431ce91caeefd70fab9f79	4237471	released
9669c968-b599-4fa6-98dc-c95c8c3b9ca8	6d15fcd6-7c9b-4e29-9000-bdd5c4b5c197.rna_seq.augmented_star_gene_counts.tsv	cb2f13d1b1e7fe344f66b4f0cf1be8b8	4233284	released
0bdfa47e-fa4b-4d32-bc44-5a789817e2ff	f39218c2-ec89-4534-bbea-a38ebd687852.rna_seq.augmented_star_gene_counts.tsv	db2435461558768ceff2813d6a19f583	4237405	released
be5015ff-cd90-4c63-a958-a222ca6d8809	b03f51d5-cf33-4498-95d7-ab55712b0e83.rna_seq.augmented_star_gene_counts.tsv	7fcb5226b16b93a8ab43030878c1cfc2	4232358	released
